Data source,Url,Type of data,Available data,Comments,webchem functions
Chemical Identifier Resolver (CIR),http://cactus.nci.nih.gov/chemical/structure,Identifiers,InChIKey,,cir_query()
,,,InChI,,
,,,SMILES,,
,,,Name,,
,,,CAS,,
,,,ChemspiderID,,
,,,other identifiers,,
,,Elemental,Molecular Weight,,
,,,Chemical Formula,,
,,,Ring Counts,,
,,,other topological data,basic topological data,
Chemical Translation Service (CTS),http://cts.fiehnlab.ucdavis.edu/,Identifiers,InChIKey,,cts_convert()
,,,InChI,,
,,,CAS,,
,,,ChemspiderID,,
,,,PubchemCID,,
,,,Synonyms,,
,,,other identifiers,Many identifiers available!,
,,Elemental,Molecular Weight,,cts_compinfo()
,,,Chemical Formula,,
,,,Exact Mass,,
ETOX: Information System Ecotoxicology and Environmental,https://webetox.uba.de/webETOX/index.do,Identifiers,CAS,,"get_etoxid(), etox_basic()"
,,,Synonyms,,
,,,other identifiers,"EC-Number, GBSL",
,,Legal,Quality targets,,etox_targets()
,,Misc,Ecotoxicological data,"NOEC, EC50",etox_tests()
PAN Pesticide Database,http://www.pesticideinfo.org/,Identifiers,CAS,Only Pesticides,pan_query()
,,,Name,,
,,Elemental,Molecular Weight,,
,,,others,chemical class,
,,Misc,Use Type,,
,,,Chemical Classification,,
,,,Toxikology,,
,,,Ecotoxicological data,,
,,Legal,Registration status,,
,,,other legal information,many classifications,
,,Properties,Water solubility,,
,,,Koc,,
,,,DT50 Hydrolysis,,
,,,DT50 Soil,,
SRC Physprop,http://www.srcinc.com/what-we-do/environmental/scientific-databases.html#physprop,Identifiers,CAS,,pp_query()
,,,Name,,
,,Elemental,Molecular Weight,,
,,,Chemical Formula,,
,,Properties,Melting / Boiling Point,,
,,,Water solubility,experimental,
,,,Log P,,
,,,Vapor Pressure,,
,,,pKA,,
,,,Henry's Law Konstant,,
PubChem,https://pubchem.ncbi.nlm.nih.gov/,Identifiers,PubchemCID,,"get_cid(), pc_prop(), pc_synonyms()"
,,,InChIKey,,
,,,InChI,,
,,,Synonyms,,
,,,name,,
,,,SMILES,,
,,Elemental,Molecular Weight,,
,,,Chemical Formula,,
,,Misc,XlogP,,
,,,HeavyAtomCount,,
,,,other,other topological data,"get_wdid(), wd_ident()"
Wikidata,https://www.wikidata.org/wiki/Wikidata:WikiProject_Chemistry,Identifiers,SMILES,,
,,,CAS,,
,,,PubchemCID,,
,,,ChemspiderID,,
,,,InChI,,
,,,InChIKey,,
,,,other,,
Compendium of Pesticide Common Name,,Identifiers,Name,Only Pesticides,aw_query()
,,,CAS,,
,,,InChI,,
,,,InChIKey,,
,,Elemental,Chemical Formula,,
,,Misc,Chemical Activity,,
ChemIDplus,http://chem.sis.nlm.nih.gov/chemidplus,Identifiers,Name,,ci_query()
,,,Synonyms,,
,,,CAS,,
,,,InChI,,
,,,InChIKey,,
,,,SMILES,,
,,Misc,Toxikology,,
,,Properties,Melting / Boiling Point,,
,,,pKA,,
,,,Log P,,
,,,Water solubility,,
,,,Vapor Pressure,,
,,,Henry's Law Konstant,,
ChemSpider,http://www.chemspider.com/,Identifiers,ChemspiderID,API Security Token needed,"get_csid(), cs_compinfo(), cs_convert(), cs_extcompinfo()"
,,,SMILES,,
,,,InChI,,
,,,InChIKey,,
,,,Name,,
,,Elemental,Molecular Weight,,
,,,Chemical Formula,,
,,Misc,XlogP,,
,,,AlogP,,
,,Properties,EPISuit Predictors,,
,,,ACD Precitors,,
OPSIN,http://opsin.ch.cam.ac.uk/instructions.html.,Identifiers,SMILES,,opsin_query()
,,,InChI,,
,,,InChIKey,,
